juv,mum,sex,age,m.rank.sp,j.p.gg,j.p.rc,j.p.pl,p.gg.j,p.rc.j,p.pl.j,fy.m.p.gg_not_juv,fy.m.p.rc_not_juv,fy.p.gg.af,fy.p.rc.af,fy.mj.gg,fy.mj.rc,mj.gg_avg_lifetime,p.gg.af_avg_lifetime,m.p.rc_not_juv_avg_lifetime
allo,ambe,M,2.648870636550308,0.636,0.00202757502027575,0.025952960259529603,0.056366585563665854,0.00202757502027575,0.022303325223033254,0.05555555555555555,0.08833333333333333,0.11708333333333333,0.06,0.06520833333333333,0.015,0.24875,0.01910541586073501,0.05248549323017408,0.08828054480980013
amos,ambe,M,5.790554414784394,0.636,0.022067838169186758,0.025337147527584796,0.03923171230077646,0.014711892112791173,0.020841847159787496,0.032693093583980384,0.06493222562308701,0.07542632269348491,0.040664626147791864,0.031919545255793616,0.022737210319195452,0.2245299519020551,0.018384481525270883,0.040583265677249215,0.10763814987998642
atom,arte,F,6.773442847364819,0.556,0.06782334384858044,0.07373817034700315,0.00473186119873817,0.010646687697160883,0.02641955835962145,0.00473186119873817,0.042366691015339665,0.045836376917458,0.02410518626734843,0.02027027027027027,0.009495982468955442,0.18864134404674945,0.017543639386845014,0.015861418088177506,0.057755330862805064
bike,bif,M,6.685831622176591,0.261,0.016894609814963796,0.02172164119066774,0.01850362027353178,0.012872083668543845,0.016492357200321803,0.01850362027353178,0.03446947814365492,0.035239745811669554,0.02079722703639515,0.012709416522241479,0.019064124783362217,0.23242826882341613,0.026943324580762335,0.04556593016921988,0.11288827322144655
blas,blaz,M,3.835728952772074,0.13,0.012754085292945397,0.02431247508967716,0.05061777600637704,0.012754085292945397,0.02072538860103627,0.046632124352331605,0.10139335476956056,0.05101822079314041,0.017363344051446947,0.012433011789924973,0.007931404072883173,0.14833869239013933,0.01210882683670237,0.04073431725801367,0.06963140980844675
bong,bonn,M,2.5694729637234772,0.696,0.006759443339960238,0.030218687872763418,0.03936381709741551,0.002385685884691849,0.02584493041749503,0.03856858846918489,0.07476832350463353,0.06655433866891322,0.05623420387531592,0.041280539174389216,0.017691659646166806,0.18218197135636058,0.03437509507837606,0.06111834726767042,0.055568576557370686
boyd,buai,F,3.6563997262149215,0.217,0.038461538461538464,0.07731157731157731,0.016705516705516704,0.010101010101010102,0.035742035742035744,0.015928515928515928,0.07592237150778418,0.072723395180209,0.053103007037747924,0.04265301770100235,0.009383663894220516,0.20217530390275112,0.019771134734327508,0.04539750656061634,0.08476901867401178
brav,bow,M,2.6872005475701575,0.826,0.010329757647993643,0.03297576479936432,0.04648390941597139,0.00834326579261025,0.028605482717520857,0.04529201430274136,0.09810263044415696,0.07309184993531695,0.055627425614489,0.045278137128072445,0.010564898663216905,0.1884432945235015,0.013173230894734704,0.05424156851866735,0.06773329971715747
brog,bow,F,6.8788501026694044,0.826,0.0508209538702111,0.07193119624706802,0.009773260359655981,0.017982799061767005,0.024628616106333073,0.008991399530883503,0.04542124542124542,0.03901098901098901,0.02912087912087912,0.010439560439560439,0.00641025641025641,0.19029304029304028,0.013715956181243777,0.03929044974806628,0.07730493007383898
burn,blaz,F,6.761122518822724,0.13,0.05653710247349823,0.05261091480172752,0.0035335689045936395,0.02198665096191598,0.015312131919905771,0.0031409501374165686,0.05928493250638453,0.03848960233491427,0.021889821233126595,0.01787668734038672,0.015140459686245895,0.1585187887632251,0.031736678598254825,0.03779915569965291,0.08832170044040479
dais,daff,F,5.772758384668036,0,0.03915301638034359,0.042748701558130243,3.9952057530962844e-4,0.02117459049141031,0.013583699560527367,3.9952057530962844e-4,0.0734739178690344,0.04550499445061043,0.051054384017758046,0.01798002219755827,0.011320754716981131,0.17269700332963375,0.01743793391284239,0.03073812925492391,0.09454919234752238
dame,dixi,F,3.9028062970568103,0.957,0.04694280078895464,0.06272189349112427,0.016173570019723867,0.008678500986193294,0.03905325443786982,0.016173570019723867,0.0621505376344086,0.07526881720430108,0.028172043010752688,0.043440860215053764,0.0070967741935483875,0.14408602150537633,0.018973376439619632,0.042557786112297144,0.06816228779444082
dann,daff,M,2.6967830253251197,0,0.0066518847006651885,0.027346637102734665,0.016260162601626018,0.0066518847006651885,0.022172949002217297,0.016260162601626018,0.07318611987381704,0.06750788643533123,0.024605678233438486,0.026288117770767613,0.008412197686645636,0.21619348054679285,0.01265244669009893,0.028957609518812988,0.05100352684840556
davi,didg,F,2.2340862422997945,1,0.007128712871287129,0.05623762376237624,0.004356435643564357,0.004752475247524752,0.020594059405940595,0.0015841584158415843,0.09311390212213079,0.09462970983109571,0.04049372022520572,0.05088783022953659,0.017756604590731917,0.23191857947163275,0.017756604590731917,0.04049372022520572,0.09462970983109571
dean,desd,M,4.892539356605065,0.211,0.014101531023368252,0.029008863819500404,0.018533440773569703,0.010475423045930701,0.0249798549556809,0.018533440773569703,0.05762782900251467,0.05699916177703269,0.02933780385582565,0.020746018440905283,0.008382229673093043,0.2460184409052808,0.013549315992800893,0.023995571048534323,0.03797699747466406
dext,dj,M,2.6817248459958933,0.579,7.892659826361484e-4,0.03157063930544594,0.020915548539857932,7.892659826361484e-4,0.0244672454617206,0.01617995264404104,0.07961579509071505,0.07940234791889007,0.04781216648879402,0.027321237993596585,0.01344717182497332,0.23991462113127002,0.02181291473914045,0.041047560791475715,0.08496916043940642
dubl,dixi,M,6.74880219028063,0.957,0.008003201280512205,0.04081632653061224,0.042817126850740295,0.0012004801920768306,0.018807523009203683,0.042817126850740295,0.03929640718562874,0.025261976047904193,0.02937874251497006,0.008233532934131737,0.008982035928143712,0.17533682634730538,0.020427698371366845,0.035431267783784325,0.06573618700568844
fris,flet,M,6.758384668035592,0.625,0.018783176806859942,0.04409963250306247,0.01837484687627603,0.011433238056349531,0.02041649652919559,0.01796651694569212,0.03686131386861314,0.04251824817518248,0.008759124087591242,0.013503649635036497,0.0032846715328467154,0.24343065693430657,0.0032846715328467154,0.008759124087591242,0.04251824817518248
kabu,kayl,F,2.624229979466119,0.455,0.00874751491053678,0.03220675944333996,0.00437375745526839,0.004771371769383698,0.014711729622266401,0.00437375745526839,0.11418832552194291,0.18236046016190882,0.09352364720920324,0.12121857690668938,0.027694929697486152,0.26224968044311886,0.028939967283017662,0.09057876615572139,0.23528928558241496
keny,kayl,M,5.811088295687885,0.455,0.012841091492776886,0.03531300160513644,0.04173354735152488,0.012841091492776886,0.030497592295345103,0.04173354735152488,0.0737392003214788,0.10769539883463934,0.03837653204741812,0.03837653204741812,0.015471167369901548,0.23709061683745228,0.017178011152681673,0.05039845159452805,0.1577934979125807
king,kipp,M,4.080766598220397,0.364,0.006827309236947791,0.035341365461847386,0.06907630522088354,0.006827309236947791,0.0285140562248996,0.06506024096385542,0.0645575032064985,0.12505344164172724,0.0168875587858059,0.05942710560068405,0.014322359982898675,0.25972637879435656,0.025750136754711717,0.026376778761772916,0.18702377557940708
mayh,mixu,F,5.7180013689253935,0.789,0.08032915360501568,0.06935736677115988,0.00274294670846395,0.02821316614420063,0.02860501567398119,0.0023510971786833857,0.07699056810704102,0.059881552972143016,0.032682605834612855,0.025882869050230312,0.007896468523799079,0.16012283395481466,0.015509161940944417,0.04711747327466253,0.04877806321859694
mend,merl,F,5.822039698836414,0.737,0.04919292851652575,0.06917755572636433,0.002690238278247502,0.026902382782475018,0.030361260568793236,0.0015372790161414297,0.04437564499484004,0.04107327141382869,0.029721362229102165,0.019814241486068113,0.02476780185758514,0.2707946336429309,0.03551813256677555,0.034139642398223896,0.09383261153783401
mole,merl,F,2.6324435318275157,0.737,0.02292490118577075,0.045454545454545456,0.005138339920948616,0.008300395256916997,0.024110671936758893,3.952569169960474e-4,0.10029313232830821,0.08563651591289782,0.048576214405360134,0.03287269681742044,0.010050251256281407,0.2617252931323283,0.012781688873964091,0.043619849446116826,0.14747219590394295
onyx,opal,M,2.8049281314168377,0.909,0.01639344262295082,0.03318672530987605,0.041583366653338664,0.009596161535385846,0.015593762495002,0.03718512594962015,0.09184328837508028,0.14258188824662812,0.08477842003853564,0.10318989509740954,0.0074930421751231,0.24234639263540997,0.01724032123344047,0.07861580860910491,0.11517618603919055
pam,park,F,2.732375085557837,0.091,0.03248811410459588,0.03882725832012678,0.006339144215530904,0.023375594294770204,0.029318541996830427,0.004358161648177496,0.06132989025177534,0.09662147622121799,0.04196255648805681,0.057456423499031635,0.01312674843985367,0.15773617387561867,0.010851538885449992,0.04389232945696641,0.11385839799789152
peke,pans,M,4.9281314168377826,0.174,0.0036188178528347406,0.03096099718536389,0.0611178126256534,0.0036188178528347406,0.020506634499396863,0.0611178126256534,0.0950113848064583,0.09314841647691989,0.038915338439246536,0.0376733595528876,0.01904367625750362,0.2796522459118195,0.0280074600070826,0.04015663155432285,0.11135762354635484
petr,park,F,5.670088980150582,0.091,0.08216432865731463,0.06533066132264528,0.00080160320641282565,0.049298597194388775,0.026452905811623247,0,0.04597701149425287,0.07992097701149425,0.023706896551724137,0.03681752873563218,0.013469827586206896,0.2101293103448276,0.012470266521016555,0.03156230025206798,0.10978053180810773
pira,pinc,M,4.851471594798083,0.947,0.022044088176352707,0.04128256513026052,0.05090180360721443,0.02004008016032064,0.036072144288577156,0.05050100200400802,0.07401281786231136,0.07463303700640893,0.021294190614016953,0.01674591689063469,0.022534628902212115,0.2586313830886913,0.01566486784499437,0.029268894881881884,0.07294812034006422
renl,robe,M,2.6036960985626285,0.263,0.009665726943213854,0.03745469190495369,0.02577527184857028,0.008054772452678213,0.022150624244865084,0.01973419250906162,0.07576733204550333,0.08113329040566646,0.045288688559776774,0.03670315518351577,0.022537025112685124,0.24103884953852758,0.022278116679087936,0.05766425526606782,0.15113118022274422
ropa,robe,M,5.945242984257358,0.263,0.03134920634920635,0.06746031746031746,0.023412698412698413,0.025396825396825397,0.05476190476190476,0.021031746031746033,0.04734639947148205,0.05615503193129267,0.029949350363356088,0.017397049108125964,0.017837480731116493,0.19621228804228144,0.028487903279300723,0.03476165203209569,0.10128478599523277
ruki,rave,M,4.772073921971252,0.273,0.004024144869215292,0.03420523138832998,0.07042253521126761,0.004024144869215292,0.02374245472837022,0.06841046277665996,0.045554335894621295,0.12385656787413099,0.016831320892791803,0.04592023417489938,0.00951335528723015,0.2839370654957922,0.047305040632453686,0.04377165635361407,0.11185426864984921
safi,saph,F,2.7624914442162902,0.818,0.05784469096671949,0.05665610142630745,3.961965134706815e-4,0.030903328050713153,0.022583201267828843,3.961965134706815e-4,0.07981119931345206,0.12357863119502253,0.06994207251662733,0.09418579703926196,0.004505470928985196,0.17335335764857326,0.011910437175984041,0.06724487488912051,0.11460105153883156
sevi,sava,F,2.646132785763176,0.87,0.03526148969889065,0.042789223454833596,0.009112519809825673,0.011489698890649762,0.020206022187004756,0.007527733755942948,0.06581511149599481,0.1407231002381468,0.042866421303312405,0.09785667893483438,0.026196146352024247,0.3072093526737389,0.027056825691102668,0.05878230521906063,0.18027100685951605
spad,spik,F,5.874058863791923,0.368,0.07188755020080322,0.05542168674698795,0.0012048192771084338,0.03493975903614458,0.02248995983935743,0.0012048192771084338,0.08635655464055197,0.06387714222123303,0.05942577342532829,0.029824170932561764,0.016692632984642776,0.2314711773870465,0.025748959995398127,0.042797236328235413,0.1016485471439165
spor,spik,F,2.239561943874059,0.368,0.046263345195729534,0.05219454329774614,0.004744958481613286,0.04191379992091736,0.03044681692368525,0.00276789244760775,0.12744451768842013,0.0962425840474621,0.05603164139749506,0.04065040650406504,0.007470885519666007,0.25488903537684027,0.007470885519666007,0.05603164139749506,0.0962425840474621
stel,sput,F,2.5763175906913074,0.684,0.015097338100913786,0.03694874851013111,0.0166865315852205,0.014302741358760428,0.027016289233214145,0.013110846245530394,0.07722896609460025,0.06153202176642947,0.03641691084135622,0.03181247383842612,0.007534533277521975,0.23817496860611134,0.020844404185229388,0.03993243311584539,0.06015727482373518
stre,sput,F,6.751540041067761,0.684,0.08359375,0.1,0.001171875,0.029296875,0.0265625,0,0.047409040793825796,0.03543865175618208,0.03260355961568751,0.01606552212946921,0.00693022523232005,0.30571743581666405,0.021764767251151347,0.030769522068149164,0.07837430487890672
tatu,twin,M,6.747433264887063,1,0.00644122383252818,0.022946859903381644,0.020933977455716585,0.0036231884057971015,0.014895330112721417,0.01932367149758454,0.028249630723781387,0.0371122599704579,0.019017725258493354,0.022895125553914326,0.0048005908419497785,0.1827917282127031,0.02304038057407257,0.032716760766717166,0.06987390130062204
tesl,twin,F,2.746064339493498,1,0.019504876219054765,0.05438859714928732,0.0086271567891973,0.009377344336084021,0.03788447111777944,0.005626406601650412,0.060862214708368556,0.06868131868131869,0.04606931530008453,0.0437447168216399,0.008030431107354184,0.1565934065934066,0.011435448054295444,0.04789243652711375,0.05709603900922229
ting,tang,M,4.947296372347707,0.526,0.018555667001003008,0.037111334002006016,0.022066198595787363,0.018555667001003008,0.03610832497492478,0.022066198595787363,0.09243697478991597,0.07794117647058824,0.029411764705882353,0.024369747899159664,0.025210084033613446,0.1619747899159664,0.02159482161700519,0.02625325467769235,0.09906431144515879
